1,不错,14093
2,酒店,5988
3,可以,5585
4,非常,4755
5,没有,4324
6,京东,4270
7,房间,4023
8,就是,3934
9,喜欢,3932
10,感觉,3866
11,比较,3691
12,还是,3612
13,质量,3443
14,服务,3097
15,这个,3034
16,苹果,2687
17,我们,2549
18,价格,2488
19,满意,2421
20,东西,2111
21,速度,2106
22,但是,2105
23,方便,2086
24,舒服,2079
25,裤子,2012
26,收到,1914
27,一直,1904
28,物流,1879
29,快递,1859
30,自己,1858
31,有点,1841
32,不过,1828
33,包装,1716
34,而且,1685
35,很快,1677
36,下次,1671
37,值得,1658
38,不是,1637
39,购买,1536
40,特别,1533
41,入住,1514
42,本书,1496
43,很多,1493
44,真的,1483
45,时候,1439
46,还有,1390
47,味道,1387
48,性价比,1385
49,早餐,1381
50,效果,1358
51,支持,1356
52,觉得,1354
53,知道,1347
54,起来,1302
55,问题,1300
56,便宜,1275
57,因为,1235
58,合适,1214
59,已经,1195
60,蒙牛,1188
61,一样,1182
62,屏幕,1172
63,什么,1171
64,应该,1171
65,手机,1171
66,希望,1163
67,实惠,1130
68,朋友,1123
69,虽然,1117
70,好吃,1115
71,以后,1112
72,所以,1095
73,一般,1095
74,孩子,1086
75,大小,1083
76,好评,1077
77,现在,1062
78,推荐,1060
79,如果,1059
80,活动,1051
81,使用,1045
82,一次,1036
83,这样,998
84,这次,982
85,环境,961
86,华为,959
87,平板,946
88,送货,943
89,新鲜,939
90,购物,938
91,一下,935
92,总体,921
93,一点,920
94,设施,909
95,功能,907
96,看到,898
97,还会,897
98,超市,891
99,外观,859
100,晚上,858
101,干净,844
102,选择,841
103,其他,831
104,评价,831
105,宾馆,822
106,做工,814
107,第一次,811
108,来说,789
109,时间,783
110,发现,770
111,前台,766
112,很大,764
113,穿着,764
114,只是,760
115,水果,760
116,衣服,756
117,好看,753
118,态度,752
119,一些,741
120,划算,734
121,服务态度,722
122,正品,717
123,颜色,708
124,系统,698
125,有些,697
126,可能,696
127,他们,692
128,需要,687
129,宝贝,686
130,适合,685
131,服务员,677
132,洗发水,652
133,大家,649
134,那么,645
135,确实,639
136,地方,620
137,今天,619
138,开始,609
139,下单,609
140,这么,608
141,免费,605
142,以前,598
143,里面,596
144,不会,591
145,产品,590
146,这里,589
147,品牌,587
148,个头,585
149,配置,583
150,好好,578
151,不能,570
152,面料,570
153,流畅,562
154,信赖,559
155,的话,551
156,携程,548
157,位置,537
158,对于,535
159,相当,535
160,这家,534
161,发货,533
162,客人,530
163,手感,527
164,只有,521
165,方面,516
166,不好,516
167,好用,515
168,交通,510
169,生活,507
170,继续,507
171,还好,507
172,上网,507
173,客服,505
174,漂亮,504
175,作者,502
176,之前,500
177,一本,499
178,设计,497
179,牌子,496
180,小哥,496
181,看着,492
182,清晰,492
183,整体,490
184,键盘,482
185,卖家,481
186,建议,477
187,2008,475
188,声音,474
189,小时,472
190,老公,467
191,超级,463
192,一定,460
193,第二天,460
194,相信,459
